Company Name	Company Number
.BIG YELLOW SELF STORAGE COMPANY LIMITED	5166173
#NAME?	5345268
0112 BRIDGE ST LION HOT (FREEHOLDCO) LIMITED	6836880
02650075 LIMITED	2650075
04021465 LIMITED	4021465
1 STALLION LTD	13243384
1 WESTMINSTER BRIDGE PLAZA MANAGEMENT COMPANY LIMITED	5525825
10 MOTIVES LIMITED	7934188
11 HOSPITALITY (BIRMINGHAM) LIMITED	4056337
11 HOSPITALITY LIMITED	11166046
11 OLD BOND STREET LONDON	3766515
11 WOODBOROUGH ROAD LIMITED	10980684
111 MOUNT STREET LIMITED	8606239
117 FENCHURCH STREET LIMITED	11594223
11CG HOTEL OPERATIONS LIMITED	10533888
123V LTD	SC178923
1607 CAPITAL PARTNERS LIMITED	10980587
18MONTROSE RETAIL LIMITED	11577636
1994 INC LTD	7296567
1ENV SOLUTIONS LIMITED	8892086
1OAK CAPITAL LIMITED	6890293
2 BURNABY GARDENS LIMITED	10966002
2 PLAN WEALTH MANAGEMENT LIMITED	5998270
2 RECYCLING HOLDINGS LIMITED	11582386
2 SAN GLOBAL HOLDINGS LTD	13476087
2 SISTERS FOOD GROUP LIMITED	2826929
21159C LIMITED	8704513
22 WOODBOROUGH ROAD LIMITED	10966231
23.5 DEGREES HOLDINGS LIMITED	9662167
23.5 DEGREES LIMITED	8014079
